Country,Year,Health Expenditure,Life Expectancy,GDP Per Capita,LOCATION
Canada,2005,3291.912,80.2,52021.596768,CAN
Canada,2006,3486.621,80.7,52021.596768,CAN
Canada,2007,3709.615,80.7,52021.596768,CAN
Canada,2008,3849.544,80.8,52021.596768,CAN
Canada,2009,3945.873,81.2,52021.596768,CAN
Canada,2010,4155.529,81.4,52021.596768,CAN
Canada,2011,4228.962,81.6,52021.596768,CAN
Canada,2012,4336.249,81.8,52021.596768,CAN
Canada,2013,4428.753,81.8,52021.596768,CAN
Canada,2014,4536.81,81.9,52021.596768,CAN
Canada,2015,4635.285,81.9,52021.596768,CAN
Canada,2016,5044.275,82.0,52021.596768,CAN
Canada,2017,5150.47,81.9,52021.596768,CAN
Canada,2018,5308.356,81.9,52021.596768,CAN
Canada,2019,5189.721,82.3,52021.596768,CAN
Canada,2020,5828.324,81.7,52021.596768,CAN
Denmark,1971,338.013,73.3,64876.683301,DNK
Denmark,1972,369.393,73.4,64876.683301,DNK
Denmark,1973,397.066,73.6,64876.683301,DNK
Denmark,1974,458.78,73.9,64876.683301,DNK
Denmark,1975,508.814,74.2,64876.683301,DNK
Denmark,1976,559.687,73.8,64876.683301,DNK
Denmark,1977,591.367,74.7,64876.683301,DNK
Denmark,1978,659.843,74.5,64876.683301,DNK
Denmark,1979,739.095,74.3,64876.683301,DNK
Denmark,1980,797.086,74.2,64876.683301,DNK
Denmark,1981,871.592,74.3,64876.683301,DNK
Denmark,1982,956.108,74.7,64876.683301,DNK
Denmark,1983,1003.394,74.5,64876.683301,DNK
Denmark,1984,1025.308,74.7,64876.683301,DNK
Denmark,1985,1106.65,74.5,64876.683301,DNK
Denmark,1986,1167.596,74.7,64876.683301,DNK
Denmark,1987,1251.13,74.8,64876.683301,DNK
Denmark,1988,1313.355,74.9,64876.683301,DNK
Denmark,1989,1359.255,74.9,64876.683301,DNK
Denmark,1990,1441.516,74.9,64876.683301,DNK
Denmark,1991,1484.027,75.3,64876.683301,DNK
Denmark,1992,1554.371,75.3,64876.683301,DNK
Denmark,1993,1646.894,75.2,64876.683301,DNK
Denmark,1994,1708.511,75.5,64876.683301,DNK
Denmark,1995,1715.029,75.3,64876.683301,DNK
Denmark,1996,1813.999,75.7,64876.683301,DNK
Denmark,1997,1891.682,76.1,64876.683301,DNK
Denmark,1998,1914.184,76.5,64876.683301,DNK
Denmark,1999,2181.669,76.6,64876.683301,DNK
Denmark,2000,2345.715,76.9,64876.683301,DNK
Denmark,2001,2472.315,77.0,64876.683301,DNK
Denmark,2002,2711.668,77.1,64876.683301,DNK
Denmark,2003,2723.11,77.4,64876.683301,DNK
Denmark,2004,2920.644,77.8,64876.683301,DNK
Denmark,2005,3014.982,78.3,64876.683301,DNK
Denmark,2006,3289.222,78.4,64876.683301,DNK
Denmark,2007,3563.086,78.4,64876.683301,DNK
Denmark,2008,3777.707,78.8,64876.683301,DNK
Denmark,2009,4016.152,79.0,64876.683301,DNK
Denmark,2010,4272.376,79.3,64876.683301,DNK
Denmark,2011,4274.142,79.9,64876.683301,DNK
Denmark,2012,4433.363,80.2,64876.683301,DNK
Denmark,2013,4525.669,80.4,64876.683301,DNK
Denmark,2014,4597.459,80.7,64876.683301,DNK
Denmark,2015,4726.752,80.8,64876.683301,DNK
Denmark,2016,4900.939,80.9,64876.683301,DNK
Denmark,2017,5112.959,81.1,64876.683301,DNK
Denmark,2018,5306.704,81.0,64876.683301,DNK
Denmark,2019,5359.776,81.5,64876.683301,DNK
Denmark,2020,5693.651,81.6,64876.683301,DNK
Denmark,2021,6384.169,81.4,64876.683301,DNK
Finland,1970,151.817,70.8,54681.714503,FIN
Finland,1971,172.952,70.1,54681.714503,FIN
Finland,1972,194.903,70.7,54681.714503,FIN
Finland,1973,215.228,71.2,54681.714503,FIN
Finland,1974,244.709,71.2,54681.714503,FIN
Finland,1975,285.659,71.7,54681.714503,FIN
Finland,1976,321.467,72.0,54681.714503,FIN
Finland,1977,350.175,72.4,54681.714503,FIN
Finland,1978,380.409,73.0,54681.714503,FIN
Finland,1979,434.11,73.2,54681.714503,FIN
Finland,1980,492.762,73.7,54681.714503,FIN
Finland,1981,554.428,74.0,54681.714503,FIN
Finland,1982,608.69,74.6,54681.714503,FIN
Finland,1983,659.054,74.5,54681.714503,FIN
Finland,1984,715.288,74.9,54681.714503,FIN
Finland,1985,805.55,74.5,54681.714503,FIN
Finland,1986,863.619,74.9,54681.714503,FIN
Finland,1987,946.648,74.9,54681.714503,FIN
Finland,1988,1028.516,74.8,54681.714503,FIN
Finland,1989,1134.258,75.0,54681.714503,FIN
Finland,1990,1261.603,75.1,54681.714503,FIN
Finland,1991,1350.305,75.5,54681.714503,FIN
Finland,1992,1334.32,75.7,54681.714503,FIN
Finland,1993,1226.337,75.9,54681.714503,FIN
Finland,1994,1218.172,76.7,54681.714503,FIN
Finland,1995,1346.179,76.7,54681.714503,FIN
Finland,1996,1418.16,77.0,54681.714503,FIN
Finland,1997,1475.282,77.2,54681.714503,FIN
Finland,1998,1523.959,77.4,54681.714503,FIN
Finland,1999,1609.61,77.6,54681.714503,FIN
Finland,2000,1876.849,77.8,54681.714503,FIN
Finland,2001,1982.267,78.2,54681.714503,FIN
Finland,2002,2201.215,78.3,54681.714503,FIN
Finland,2003,2277.09,78.6,54681.714503,FIN
Finland,2004,2478.714,79.0,54681.714503,FIN
Finland,2005,2573.5,79.1,54681.714503,FIN
Finland,2006,2752.672,79.5,54681.714503,FIN
